naics_code,industry_description,firm_size,number_of_firms
721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",100-499 employees,17
721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",500+ employees,9
722,Food Services and Drinking Places,1-4 employees,199456
722,Food Services and Drinking Places,4-9 employees,103897
722,Food Services and Drinking Places,10-19 employees,99016
722,Food Services and Drinking Places,20-99 employees,88771
722,Food Services and Drinking Places,100-499 employees,7038
722,Food Services and Drinking Places,500+ employees,1631
7223,Special Food Services,1-4 employees,18416
7223,Special Food Services,4-9 employees,3611
7223,Special Food Services,10-19 employees,2125
7223,Special Food Services,20-99 employees,1476
7223,Special Food Services,100-499 employees,265
7223,Special Food Services,500+ employees,136
72231,Food Service Contractors,1-4 employees,2006
72231,Food Service Contractors,4-9 employees,484
72231,Food Service Contractors,10-19 employees,329
72231,Food Service Contractors,20-99 employees,356
72231,Food Service Contractors,100-499 employees,157
72231,Food Service Contractors,500+ employees,96
722310,Food Service Contractors,1-4 employees,2006
722310,Food Service Contractors,4-9 employees,484
722310,Food Service Contractors,10-19 employees,329
722310,Food Service Contractors,20-99 employees,356
722310,Food Service Contractors,100-499 employees,157
722310,Food Service Contractors,500+ employees,96
72232,Caterers,1-4 employees,8014
72232,Caterers,4-9 employees,2069
72232,Caterers,10-19 employees,1355
72232,Caterers,20-99 employees,960
72232,Caterers,100-499 employees,104
72232,Caterers,500+ employees,42
722320,Caterers,1-4 employees,8014
722320,Caterers,4-9 employees,2069
722320,Caterers,10-19 employees,1355
722320,Caterers,20-99 employees,960
722320,Caterers,100-499 employees,104
722320,Caterers,500+ employees,42
72233,Mobile Food Services,1-4 employees,8398
72233,Mobile Food Services,4-9 employees,1060
72233,Mobile Food Services,10-19 employees,445
72233,Mobile Food Services,20-99 employees,173
72233,Mobile Food Services,100-499 employees,17
72233,Mobile Food Services,500+ employees,6
722330,Mobile Food Services,1-4 employees,8398
722330,Mobile Food Services,4-9 employees,1060
722330,Mobile Food Services,10-19 employees,445
722330,Mobile Food Services,20-99 employees,173
722330,Mobile Food Services,100-499 employees,17
722330,Mobile Food Services,500+ employees,6
7224,Drinking Places (Alcoholic Beverages),1-4 employees,19302
7224,Drinking Places (Alcoholic Beverages),4-9 employees,9458
7224,Drinking Places (Alcoholic Beverages),10-19 employees,5535
7224,Drinking Places (Alcoholic Beverages),20-99 employees,3031
7224,Drinking Places (Alcoholic Beverages),100-499 employees,123
7224,Drinking Places (Alcoholic Beverages),500+ employees,41
72241,Drinking Places (Alcoholic Beverages),1-4 employees,19302
72241,Drinking Places (Alcoholic Beverages),4-9 employees,9458
72241,Drinking Places (Alcoholic Beverages),10-19 employees,5535
72241,Drinking Places (Alcoholic Beverages),20-99 employees,3031
72241,Drinking Places (Alcoholic Beverages),100-499 employees,123
72241,Drinking Places (Alcoholic Beverages),500+ employees,41
722410,Drinking Places (Alcoholic Beverages),1-4 employees,19302
722410,Drinking Places (Alcoholic Beverages),4-9 employees,9458
722410,Drinking Places (Alcoholic Beverages),10-19 employees,5535
722410,Drinking Places (Alcoholic Beverages),20-99 employees,3031
722410,Drinking Places (Alcoholic Beverages),100-499 employees,123
722410,Drinking Places (Alcoholic Beverages),500+ employees,41
7225,Restaurants and Other Eating Places,1-4 employees,161766
7225,Restaurants and Other Eating Places,4-9 employees,90836
7225,Restaurants and Other Eating Places,10-19 employees,91410
7225,Restaurants and Other Eating Places,20-99 employees,84468
7225,Restaurants and Other Eating Places,100-499 employees,6792
7225,Restaurants and Other Eating Places,500+ employees,1539
72251,Restaurants and Other Eating Places,1-4 employees,161766
72251,Restaurants and Other Eating Places,4-9 employees,90836
72251,Restaurants and Other Eating Places,10-19 employees,91410
72251,Restaurants and Other Eating Places,20-99 employees,84468
72251,Restaurants and Other Eating Places,100-499 employees,6792
72251,Restaurants and Other Eating Places,500+ employees,1539
722511,Full-Service Restaurants,1-4 employees,72976
722511,Full-Service Restaurants,4-9 employees,44482
722511,Full-Service Restaurants,10-19 employees,48559
722511,Full-Service Restaurants,20-99 employees,50348
722511,Full-Service Restaurants,100-499 employees,2106
722511,Full-Service Restaurants,500+ employees,546
722513,Limited-Service Restaurants,1-4 employees,61393
722513,Limited-Service Restaurants,4-9 employees,32383
722513,Limited-Service Restaurants,10-19 employees,31110
722513,Limited-Service Restaurants,20-99 employees,28522
722513,Limited-Service Restaurants,100-499 employees,4538
722513,Limited-Service Restaurants,500+ employees,1093
722514,"Cafeterias, Grill Buffets, and Buffets",1-4 employees,1826
722514,"Cafeterias, Grill Buffets, and Buffets",4-9 employees,1036
722514,"Cafeterias, Grill Buffets, and Buffets",10-19 employees,679
722514,"Cafeterias, Grill Buffets, and Buffets",20-99 employees,587
722514,"Cafeterias, Grill Buffets, and Buffets",100-499 employees,46
722514,"Cafeterias, Grill Buffets, and Buffets",500+ employees,32
722515,Snack and Nonalcoholic Beverage Bars,1-4 employees,25594
722515,Snack and Nonalcoholic Beverage Bars,4-9 employees,12957
722515,Snack and Nonalcoholic Beverage Bars,10-19 employees,11140
722515,Snack and Nonalcoholic Beverage Bars,20-99 employees,5451
722515,Snack and Nonalcoholic Beverage Bars,100-499 employees,414
722515,Snack and Nonalcoholic Beverage Bars,500+ employees,114
81,Other Services (except Public Administration),1-4 employees,478387
81,Other Services (except Public Administration),4-9 employees,135233
81,Other Services (except Public Administration),10-19 employees,62326
81,Other Services (except Public Administration),20-99 employees,36299
81,Other Services (except Public Administration),100-499 employees,3798
81,Other Services (except Public Administration),500+ employees,1324
811,Repair and Maintenance,1-4 employees,135898
811,Repair and Maintenance,4-9 employees,39485
811,Repair and Maintenance,10-19 employees,15824
811,Repair and Maintenance,20-99 employees,6841
811,Repair and Maintenance,100-499 employees,937
811,Repair and Maintenance,500+ employees,642
8111,Automotive Repair and Maintenance,1-4 employees,98748
8111,Automotive Repair and Maintenance,4-9 employees,31745
8111,Automotive Repair and Maintenance,10-19 employees,12372
8111,Automotive Repair and Maintenance,20-99 employees,4846
8111,Automotive Repair and Maintenance,100-499 employees,587
8111,Automotive Repair and Maintenance,500+ employees,308
81111,Automotive Mechanical and Electrical Repair and Maintenance,1-4 employees,60904
81111,Automotive Mechanical and Electrical Repair and Maintenance,4-9 employees,19189
81111,Automotive Mechanical and Electrical Repair and Maintenance,10-19 employees,5164
81111,Automotive Mechanical and Electrical Repair and Maintenance,20-99 employees,1478
81111,Automotive Mechanical and Electrical Repair and Maintenance,100-499 employees,238
81111,Automotive Mechanical and Electrical Repair and Maintenance,500+ employees,189
811111,General Automotive Repair,1-4 employees,54929
811111,General Automotive Repair,4-9 employees,17416
811111,General Automotive Repair,10-19 employees,4789
811111,General Automotive Repair,20-99 employees,1358
811111,General Automotive Repair,100-499 employees,228
811111,General Automotive Repair,500+ employees,186
811112,Automotive Exhaust System Repair,1-4 employees,1162
811112,Automotive Exhaust System Repair,4-9 employees,225
811112,Automotive Exhaust System Repair,10-19 employees,42
811112,Automotive Exhaust System Repair,20-99 employees,19
811113,Automotive Transmission Repair,1-4 employees,2637
811113,Automotive Transmission Repair,4-9 employees,939
811113,Automotive Transmission Repair,10-19 employees,165
811113,Automotive Transmission Repair,20-99 employees,40
811113,Automotive Transmission Repair,500+ employees,4
811118,Other Automotive Mechanical and Electrical Repair and Maintenance,1-4 employees,2180
811118,Other Automotive Mechanical and Electrical Repair and Maintenance,4-9 employees,613
811118,Other Automotive Mechanical and Electrical Repair and Maintenance,10-19 employees,173
811118,Other Automotive Mechanical and Electrical Repair and Maintenance,20-99 employees,75
811118,Other Automotive Mechanical and Electrical Repair and Maintenance,100-499 employees,9
811118,Other Automotive Mechanical and Electrical Repair and Maintenance,500+ employees,5
81112,"Automotive Body, Paint, Interior, and Glass Repair",1-4 employees,22788
81112,"Automotive Body, Paint, Interior, and Glass Repair",4-9 employees,8179
81112,"Automotive Body, Paint, Interior, and Glass Repair",10-19 employees,4350
81112,"Automotive Body, Paint, Interior, and Glass Repair",20-99 employees,1517
81112,"Automotive Body, Paint, Interior, and Glass Repair",100-499 employees,210
81112,"Automotive Body, Paint, Interior, and Glass Repair",500+ employees,78
811121,"Automotive Body, Paint, and Interior Repair and Maintenance",1-4 employees,18749
811121,"Automotive Body, Paint, and Interior Repair and Maintenance",4-9 employees,7265
811121,"Automotive Body, Paint, and Interior Repair and Maintenance",10-19 employees,4043
811121,"Automotive Body, Paint, and Interior Repair and Maintenance",20-99 employees,1406
811121,"Automotive Body, Paint, and Interior Repair and Maintenance",100-499 employees,193
811121,"Automotive Body, Paint, and Interior Repair and Maintenance",500+ employees,72
811122,Automotive Glass Replacement Shops,1-4 employees,4039
811122,Automotive Glass Replacement Shops,4-9 employees,915
811122,Automotive Glass Replacement Shops,10-19 employees,307
811122,Automotive Glass Replacement Shops,20-99 employees,113
811122,Automotive Glass Replacement Shops,100-499 employees,18
811122,Automotive Glass Replacement Shops,500+ employees,10
81119,Other Automotive Repair and Maintenance,1-4 employees,15058
81119,Other Automotive Repair and Maintenance,4-9 employees,4384
81119,Other Automotive Repair and Maintenance,10-19 employees,2892
81119,Other Automotive Repair and Maintenance,20-99 employees,1903
81119,Other Automotive Repair and Maintenance,100-499 employees,183
81119,Other Automotive Repair and Maintenance,500+ employees,84
811191,Automotive Oil Change and Lubrication Shops,1-4 employees,2233
811191,Automotive Oil Change and Lubrication Shops,4-9 employees,1186
811191,Automotive Oil Change and Lubrication Shops,10-19 employees,548
811191,Automotive Oil Change and Lubrication Shops,20-99 employees,303
811191,Automotive Oil Change and Lubrication Shops,100-499 employees,61
811191,Automotive Oil Change and Lubrication Shops,500+ employees,21
811192,Car Washes,1-4 employees,9129
811192,Car Washes,4-9 employees,2596
811192,Car Washes,10-19 employees,2179
811192,Car Washes,20-99 employees,1567
811192,Car Washes,100-499 employees,120
811192,Car Washes,500+ employees,49
811198,All Other Automotive Repair and Maintenance,1-4 employees,3697
811198,All Other Automotive Repair and Maintenance,4-9 employees,607
811198,All Other Automotive Repair and Maintenance,10-19 employees,169
811198,All Other Automotive Repair and Maintenance,20-99 employees,55
811198,All Other Automotive Repair and Maintenance,100-499 employees,10
811198,All Other Automotive Repair and Maintenance,500+ employees,19
8112,Electronic and Precision Equipment Repair and Maintenance,1-4 employees,7408
8112,Electronic and Precision Equipment Repair and Maintenance,4-9 employees,1560
8112,Electronic and Precision Equipment Repair and Maintenance,10-19 employees,705
8112,Electronic and Precision Equipment Repair and Maintenance,20-99 employees,455
8112,Electronic and Precision Equipment Repair and Maintenance,100-499 employees,78
8112,Electronic and Precision Equipment Repair and Maintenance,500+ employees,95
81121,Electronic and Precision Equipment Repair and Maintenance,1-4 employees,7408
81121,Electronic and Precision Equipment Repair and Maintenance,4-9 employees,1560
81121,Electronic and Precision Equipment Repair and Maintenance,10-19 employees,705
81121,Electronic and Precision Equipment Repair and Maintenance,20-99 employees,455
81121,Electronic and Precision Equipment Repair and Maintenance,100-499 employees,78
81121,Electronic and Precision Equipment Repair and Maintenance,500+ employees,95
811211,Consumer Electronics Repair and Maintenance,1-4 employees,1217
811211,Consumer Electronics Repair and Maintenance,4-9 employees,246
811211,Consumer Electronics Repair and Maintenance,10-19 employees,104
811211,Consumer Electronics Repair and Maintenance,20-99 employees,46
811211,Consumer Electronics Repair and Maintenance,100-499 employees,5
811211,Consumer Electronics Repair and Maintenance,500+ employees,14
811212,Computer and Office Machine Repair and Maintenance,1-4 employees,3372
811212,Computer and Office Machine Repair and Maintenance,4-9 employees,651
811212,Computer and Office Machine Repair and Maintenance,10-19 employees,253
